lambda,transmittance,polished,trasm_error
9.000000000000001e-07,0.3125,0.47929447852760737,0.004242640687119285
8.995e-07,0.3852,0.4795219718660525,0.004242640687119285
8.990000000000001e-07,0.6667,1.116750418760469,0.004242640687119285
8.985000000000001e-07,-0.6335,-0.7311865189289012,0.004242640687119285
8.98e-07,1.4,1.653673517599811,0.004242640687119285
8.975000000000001e-07,0.4118,0.6189688862167443,0.004242640687119285
8.97e-07,1.8375,3.1884435190005203,0.004242640687119285
8.965e-07,1.2418,1.6586082543074663,0.004242640687119285
8.960000000000001e-07,0.0952,0.09927007299270074,0.004242640687119285
8.955e-07,0.1212,0.14029401551105453,0.004242640687119285
8.95e-07,0.0992,0.09815950920245399,0.004242640687119285
8.945000000000001e-07,1.9478,2.7833666761931983,0.004242640687119285
8.94e-07,0.6468,0.6358006487761722,0.004242640687119285
8.935000000000001e-07,-0.5353,-0.7469997209042701,0.004242640687119285
8.930000000000001e-07,-0.4902,-0.7100231749710313,0.004242640687119285
8.925e-07,-3.8335,-5.983299516154206,0.004242640687119285
8.920000000000001e-07,0.0619,0.07571865443425076,0.004242640687119285
8.915000000000001e-07,-0.0743,-0.09818950707017313,0.004242640687119285
8.91e-07,-1.3954,-1.5601520572450804,0.004242640687119285
8.905000000000001e-07,0.7606,0.863141171130277,0.004242640687119285
8.900000000000001e-07,0.7339,0.8510959062971124,0.004242640687119285
8.895e-07,-0.1364,-0.15890027958993475,0.004242640687119285
8.890000000000001e-07,0.7214,0.7646809412762349,0.004242640687119285
8.885e-07,1.0577,1.313749844739784,0.004242640687119285
8.88e-07,-0.1474,-0.1891926581953536,0.004242640687119285
8.875000000000001e-07,0.1152,0.13568904593639575,0.004242640687119285
8.87e-07,-5.4288,-5.365487250444752,0.004242640687119285
8.865e-07,-0.0693,-0.11559633027522935,0.004242640687119285
8.860000000000001e-07,-0.2164,-0.2640956797656822,0.004242640687119285
8.855e-07,-0.2836,-0.3259020914732246,0.004242640687119285
8.850000000000001e-07,-1.1259,-1.2893953275309207,0.004242640687119285
8.845000000000001e-07,-0.3443,-0.4509495743287492,0.004242640687119285
8.84e-07,-0.2555,-0.343783638320775,0.004242640687119285
8.835000000000001e-07,-0.4045,-0.47869822485207103,0.004242640687119285
8.830000000000001e-07,-0.8343,-0.9467771221062189,0.004242640687119285
8.825e-07,0.2241,0.27048883524441764,0.004242640687119285
8.820000000000001e-07,0.2102,0.2841308461746418,0.004242640687119285
8.815e-07,0.3102,0.41293929712460065,0.004242640687119285
8.81e-07,0.2028,0.24252571155226021,0.004242640687119285
8.805000000000001e-07,0.3051,0.34587915202358005,0.004242640687119285
8.8e-07,-0.1321,-0.15780671365428264,0.004242640687119285
8.795e-07,-0.2411,-0.3055766793409379,0.004242640687119285
8.790000000000001e-07,0.1892,0.23837722061232205,0.004242640687119285
8.785e-07,0.2087,0.23813327247832042,0.004242640687119285
8.780000000000001e-07,0.01,0.012603982858583314,0.004242640687119285
8.775000000000001e-07,0.1985,0.21485009200129884,0.004242640687119285
8.77e-07,0.0961,0.11994508237643535,0.004242640687119285
8.765000000000001e-07,-0.1509,-0.17889745109662122,0.004242640687119285
8.760000000000001e-07,0.1479,0.18922722620266122,0.004242640687119285
8.755e-07,-0.1041,-0.13454827452500967,0.004242640687119285
8.750000000000001e-07,0.0846,0.10628140703517587,0.004242640687119285
8.745000000000001e-07,-0.2893,-0.3552744688689672,0.004242640687119285
8.74e-07,-0.0383,-0.04876496052966641,0.004242640687119285
8.735000000000001e-07,0.0907,0.11476654435024675,0.004242640687119285
8.73e-07,-0.1947,-0.24319260554584063,0.004242640687119285
8.725e-07,-0.0171,-0.020340192696562388,0.004242640687119285
8.720000000000001e-07,0.0557,0.07128231379575121,0.004242640687119285
8.715e-07,0.0443,0.05347658136166103,0.004242640687119285
8.71e-07,0.085,0.10098609956041346,0.004242640687119285
8.705000000000001e-07,0.0345,0.04180298073427845,0.004242640687119285
8.7e-07,0.0,0.0,0.004242640687119285
8.695000000000001e-07,0.0514,0.06231058310098194,0.004242640687119285
8.690000000000001e-07,0.0798,0.09910581222056632,0.004242640687119285
8.685e-07,-0.0114,-0.014489069649211997,0.004242640687119285
8.680000000000001e-07,-0.055,-0.0663129973474801,0.004242640687119285
8.675000000000001e-07,0.0589,0.07084435891267742,0.004242640687119285
8.67e-07,0.0528,0.06386839240353212,0.004242640687119285
8.665000000000001e-07,-0.0779,-0.09496525661343411,0.004242640687119285
8.66e-07,-0.1188,-0.14555256064690025,0.004242640687119285
8.655e-07,0.0948,0.11407942238267148,0.004242640687119285
8.650000000000001e-07,0.0657,0.08046540110226576,0.004242640687119285
8.645e-07,-0.0537,-0.06623905267053164,0.004242640687119285
8.64e-07,0.0652,0.08047395704764254,0.004242640687119285
8.635000000000001e-07,0.0329,0.04073294540051999,0.004242640687119285
8.63e-07,-0.021,-0.025884383088869718,0.004242640687119285
8.625000000000001e-07,-0.0403,-0.04934492469695115,0.004242640687119285
8.620000000000001e-07,-0.0057,-0.006961406936980948,0.004242640687119285
8.615e-07,0.0672,0.08215158924205379,0.004242640687119285
8.610000000000001e-07,0.0554,0.06893977103036336,0.004242640687119285
8.605000000000001e-07,0.0037,0.004484304932735427,0.004242640687119285
8.6e-07,-0.0084,-0.01002625925041776,0.004242640687119285
8.595000000000001e-07,0.0242,0.029451137884872823,0.004242640687119285
8.590000000000001e-07,0.0046,0.005690956328096004,0.004242640687119285
8.585e-07,-0.0344,-0.042177538008827856,0.004242640687119285
8.580000000000001e-07,-0.0108,-0.013075060532687652,0.004242640687119285
8.575e-07,0.0424,0.051897184822521425,0.004242640687119285
8.57e-07,0.0006,0.0007417480529113611,0.004242640687119285
8.565000000000001e-07,-0.0046,-0.005571705426356589,0.004242640687119285
8.56e-07,0.0228,0.027893320283826767,0.004242640687119285
8.555e-07,0.0106,0.012895377128953773,0.004242640687119285
8.550000000000001e-07,0.0077,0.009427032321253673,0.004242640687119285
8.545e-07,0.0181,0.02183880308880309,0.004242640687119285
8.540000000000001e-07,0.0173,0.021089845178593195,0.004242640687119285
8.535000000000001e-07,0.014,0.017013002794993317,0.004242640687119285
8.53e-07,0.0332,0.04016452939753206,0.004242640687119285
8.525000000000001e-07,0.0082,0.009906971124803673,0.004242640687119285
8.520000000000001e-07,0.02,0.0242306760358614,0.004242640687119285
8.515e-07,0.005,0.006105006105006106,0.004242640687119285
8.510000000000001e-07,0.0138,0.016853932584269662,0.004242640687119285
8.505e-07,0.0119,0.014371980676328505,0.004242640687119285
8.5e-07,0.0175,0.021137818577122845,0.004242640687119285
8.495000000000001e-07,0.0019,0.002307785740313373,0.004242640687119285
8.49e-07,0.0142,0.01721420778276155,0.004242640687119285
8.485e-07,0.001,0.0012186205215695832,0.004242640687119285
8.480000000000001e-07,0.0022,0.002651241262954929,0.004242640687119285
8.475e-07,0.01,0.012124151309408342,0.004242640687119285
8.47e-07,0.0036,0.004363636363636364,0.004242640687119285
8.465000000000001e-07,0.0079,0.009522661523625844,0.004242640687119285
8.46e-07,-0.0015,-0.0018155410312273056,0.004242640687119285
8.455000000000001e-07,0.0131,0.01584230257588584,0.004242640687119285
8.450000000000001e-07,0.0071,0.008603974793989336,0.004242640687119285
8.445e-07,0.0147,0.017757912539260692,0.004242640687119285
8.440000000000001e-07,0.0079,0.009549135742777711,0.004242640687119285
8.435000000000001e-07,0.0029,0.0034922928709055874,0.004242640687119285
8.43e-07,0.0038,0.004608294930875576,0.004242640687119285
8.425000000000001e-07,0.0139,0.016783385655638732,0.004242640687119285
8.42e-07,-0.001,-0.0012068549360366883,0.004242640687119285
8.415e-07,-0.0016,-0.0019274786170340925,0.004242640687119285
8.410000000000001e-07,0.0055,0.006659401864632522,0.004242640687119285
8.405e-07,0.0199,0.024007721076124987,0.004242640687119285
8.4e-07,0.0008,0.0009668842156151801,0.004242640687119285
8.395000000000001e-07,0.0071,0.008558341369334619,0.004242640687119285
8.39e-07,0.0078,0.009405522730013263,0.004242640687119285
8.385000000000001e-07,0.0168,0.020255606462503014,0.004242640687119285
8.380000000000001e-07,0.0045,0.005443328898028305,0.004242640687119285
8.375e-07,0.005,0.006037189084762135,0.004242640687119285
8.370000000000001e-07,0.0113,0.013687015503875967,0.004242640687119285
8.365000000000001e-07,0.0075,0.009051412020275162,0.004242640687119285
8.36e-07,0.0043,0.005175111325069202,0.004242640687119285
8.355000000000001e-07,0.0117,0.014109985528219971,0.004242640687119285
8.35e-07,0.0078,0.009421427708660467,0.004242640687119285
8.345e-07,0.0097,0.011699433120250876,0.004242640687119285
8.340000000000001e-07,0.0109,0.013172205438066464,0.004242640687119285
8.335e-07,0.0096,0.011604013054514684,0.004242640687119285
8.33e-07,0.0159,0.019244734931009443,0.004242640687119285
