Data	M7
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-5576.86
Y-Coord	-5238.77
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
101	  -11326.5	  -135.562	   104.295	   104.295	   104.295
102	    -11311	  -120.055	   104.281	   104.281	   104.281
103	  -11321.5	   -130.48	   102.073	   102.073	   102.073
104	  -11327.8	  -136.822	   96.1074	   96.1074	   96.1074
105	  -11335.4	  -144.369	   87.4733	   87.4733	   87.4733
106	  -11356.1	  -165.092	    78.881	    78.881	    78.881
107	  -11361.4	  -170.462	   73.2936	   73.2936	   73.2936
108	  -11355.5	  -164.559	    71.388	    71.388	    71.388
109	  -11359.1	  -168.109	   71.3265	   71.3265	   71.3265
110	  -11355.4	  -164.426	   70.6156	   70.6156	   70.6156
111	  -11353.7	  -162.742	   67.3574	   67.3574	   67.3574
112	  -11372.7	  -181.728	   62.0273	   62.0273	   62.0273
113	  -11379.3	  -188.278	   57.9305	   57.9305	   57.9305
114	  -11376.7	  -185.753	   58.5649	   58.5649	   58.5649
115	  -11379.1	  -188.091	   65.4706	   65.4706	   65.4706
116	  -11352.2	  -161.263	   77.0393	   77.0393	   77.0393
117	  -11334.3	  -143.303	   88.7132	   88.7132	   88.7132
118	  -11334.5	  -143.471	   96.8709	   96.8709	   96.8709
119	  -11330.2	  -139.254	    101.33	    101.33	    101.33
120	  -11328.5	  -137.549	   103.125	   103.125	   103.125
121	  -11328.8	  -137.809	   102.314	   102.314	   102.314
122	  -11332.4	  -141.446	   98.1021	   98.1021	   98.1021
123	  -11338.4	  -147.403	    90.012	    90.012	    90.012
124	  -11360.1	  -169.109	   79.1829	   79.1829	   79.1829
125	  -11370.1	  -179.095	   67.8862	   67.8862	   67.8862
126	  -11377.7	  -186.719	     57.53	     57.53	     57.53
127	    -11394	  -202.993	   48.4662	   48.4662	   48.4662
128	  -11394.1	  -203.081	    41.058	    41.058	    41.058
129	  -11408.8	  -217.791	   36.4441	   36.4441	   36.4441
130	  -11410.7	  -219.746	   36.7009	   36.7009	   36.7009
131	  -11400.9	  -209.903	   43.0225	   43.0225	   43.0225
132	    -11388	  -196.999	   53.9481	   53.9481	   53.9481
133	    -11369	  -178.063	   65.7822	   65.7822	   65.7822
134	  -11358.8	  -167.841	    74.213	    74.213	    74.213
135	  -11353.3	  -162.324	   76.6156	   76.6156	   76.6156
136	  -11369.8	  -178.798	   74.1394	   74.1394	   74.1394
137	  -11377.9	  -186.888	   70.4454	   70.4454	   70.4454
138	  -11369.8	  -178.795	   67.2671	   67.2671	   67.2671
139	    -11376	  -185.046	   63.4526	   63.4526	   63.4526
140	  -11388.1	  -197.071	   58.2633	   58.2633	   58.2633
141	    -11387	  -196.012	   52.4757	   52.4757	   52.4757
142	  -11402.7	  -211.677	   47.2618	   47.2618	   47.2618
143	    -11404	  -213.067	   43.1351	   43.1351	   43.1351
144	  -11395.1	  -204.095	   39.0482	   39.0482	   39.0482
145	  -11420.2	  -229.198	   34.0951	   34.0951	   34.0951
146	  -11413.7	  -222.715	   28.9207	   28.9207	   28.9207
147	  -11420.6	  -229.665	   24.4655	   24.4655	   24.4655
148	  -11435.7	  -244.729	   22.3615	   22.3615	   22.3615
149	  -11426.3	  -235.289	   24.4371	   24.4371	   24.4371
150	  -11417.1	  -226.079	   30.2295	   30.2295	   30.2295
151	  -11411.5	  -220.544	   37.5514	   37.5514	   37.5514
152	  -11402.7	  -211.697	    44.255	    44.255	    44.255
153	  -11392.4	  -201.457	   48.3127	   48.3127	   48.3127
154	    -11400	  -209.032	   48.5181	   48.5181	   48.5181
155	  -11401.8	  -210.769	   45.4555	   45.4555	   45.4555
156	  -11409.4	  -218.426	   41.0996	   41.0996	   41.0996
157	  -11421.7	   -230.71	   37.9388	   37.9388	   37.9388
158	  -11415.1	  -224.164	     36.83	     36.83	     36.83
159	  -11406.3	  -215.274	   35.6551	   35.6551	   35.6551
160	  -11420.5	  -229.551	   32.8976	   32.8976	   32.8976
161	  -11434.2	  -243.237	   30.4345	   30.4345	   30.4345
162	    -11417	  -226.036	   29.6461	   29.6461	   29.6461
163	  -11422.1	  -231.133	   28.8359	   28.8359	   28.8359
164	  -11429.6	  -238.645	   26.6078	   26.6078	   26.6078
165	  -11428.3	  -237.367	   23.6049	   23.6049	   23.6049
166	    -11439	  -247.977	   21.0949	   21.0949	   21.0949
167	  -11437.9	   -246.93	    19.682	    19.682	    19.682
168	  -11430.8	  -239.815	   18.6397	   18.6397	   18.6397
169	  -11443.4	  -252.451	   17.4339	   17.4339	   17.4339
170	  -11444.7	  -253.695	   16.9085	   16.9085	   16.9085
171	    -11434	   -242.99	    17.493	    17.493	    17.493
172	  -11445.3	  -254.338	   18.9547	   18.9547	   18.9547
173	  -11438.4	  -247.442	   21.2902	   21.2902	   21.2902
174	  -11429.1	  -238.135	   23.4035	   23.4035	   23.4035
175	  -11433.7	  -242.761	   23.6322	   23.6322	   23.6322
176	  -11438.5	    -247.5	   22.3729	   22.3729	   22.3729
177	  -11442.6	   -251.64	   22.1905	   22.1905	   22.1905
178	  -11442.9	  -251.963	   25.5752	   25.5752	   25.5752
179	  -11430.3	   -239.27	   32.4402	   32.4402	   32.4402
180	  -11413.1	  -222.069	   39.4696	   39.4696	   39.4696
181	  -11414.9	  -223.958	   42.9919	   42.9919	   42.9919
182	  -11417.9	  -226.876	   41.8723	   41.8723	   41.8723
183	    -11422	  -231.022	   36.7755	   36.7755	   36.7755
184	  -11433.2	   -242.26	   28.6351	   28.6351	   28.6351
185	  -11445.2	  -254.232	   18.5839	   18.5839	   18.5839
186	    -11457	  -266.041	    7.9894	    7.9894	    7.9894
187	    -11468	  -277.032	  -1.43721	  -1.43721	  -1.43721
188	  -11482.6	  -291.574	    -7.331	    -7.331	    -7.331
189	  -11479.4	  -288.463	  -7.87551	  -7.87551	  -7.87551
190	  -11471.7	  -280.702	  -3.83467	  -3.83467	  -3.83467
191	  -11461.7	  -270.729	   1.87627	   1.87627	   1.87627
192	  -11456.5	  -265.494	   7.21062	   7.21062	   7.21062
193	  -11463.8	  -272.795	   13.1123	   13.1123	   13.1123
194	  -11450.5	  -259.553	   21.3044	   21.3044	   21.3044
195	  -11429.5	  -238.497	    30.753	    30.753	    30.753
196	  -11431.6	  -240.604	   38.9928	   38.9928	   38.9928
197	  -11422.8	  -231.864	   44.7594	   44.7594	   44.7594
198	  -11412.8	  -221.806	   47.3023	   47.3023	   47.3023
199	  -11426.5	  -235.478	   46.6891	   46.6891	   46.6891
200	  -11427.6	  -236.571	   44.7312	   44.7312	   44.7312
201	  -11428.3	  -237.306	   42.8543	   42.8543	   42.8543
202	    -11431	  -239.998	   39.9602	   39.9602	   39.9602
203	  -11425.9	  -234.953	   32.8106	   32.8106	   32.8106
204	  -11444.9	  -253.943	   19.3682	   19.3682	   19.3682
205	  -11479.8	  -288.863	   2.83354	   2.83354	   2.83354
206	  -11496.6	  -305.605	  -10.2098	  -10.2098	  -10.2098
207	    -11494	  -303.034	  -16.1216	  -16.1216	  -16.1216
208	  -11494.3	  -303.362	  -15.9964	  -15.9964	  -15.9964
209	  -11488.7	  -297.755	  -12.5253	  -12.5253	  -12.5253
210	  -11481.3	  -290.323	  -7.70515	  -7.70515	  -7.70515
211	    -11481	  -290.015	  -2.24483	  -2.24483	  -2.24483
212	  -11475.1	  -284.109	   3.79486	   3.79486	   3.79486
213	  -11461.1	  -270.089	   9.51847	   9.51847	   9.51847
214	  -11462.2	  -271.215	   13.9156	   13.9156	   13.9156
