Data	M2
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-2938.84
Y-Coord	34576.99
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
98	    -10955	  -1402.65	  -78.1669	  -78.1669	  -78.1669
99	  -10902.2	  -1349.85	  -20.0848	  -20.0848	  -20.0848
100	  -10861.2	  -1308.87	   37.8592	   37.8592	   37.8592
101	  -10815.6	  -1263.28	   92.1854	   92.1854	   92.1854
102	  -10763.9	  -1211.61	   135.738	   135.738	   135.738
103	  -10748.3	  -1195.98	   159.255	   159.255	   159.255
104	  -10767.5	  -1215.17	   158.839	   158.839	   158.839
105	  -10829.8	   -1277.5	   140.354	   140.354	   140.354
106	  -10868.4	  -1316.09	    113.09	    113.09	    113.09
107	  -10896.6	  -1344.25	   79.8327	   79.8327	   79.8327
108	  -10955.3	  -1402.94	     37.69	     37.69	     37.69
109	  -11028.9	  -1476.53	  -12.4551	  -12.4551	  -12.4551
110	  -11117.6	   -1565.3	  -62.4359	  -62.4359	  -62.4359
111	  -11163.8	  -1611.46	  -103.352	  -103.352	  -103.352
112	  -11200.1	  -1647.78	  -132.078	  -132.078	  -132.078
113	  -11235.8	  -1683.43	  -149.043	  -149.043	  -149.043
114	  -11257.5	  -1705.18	  -153.373	  -153.373	  -153.373
115	  -11263.4	  -1711.04	  -143.474	  -143.474	  -143.474
116	  -11239.6	  -1687.26	  -119.937	  -119.937	  -119.937
117	  -11226.6	  -1674.29	  -85.0501	  -85.0501	  -85.0501
118	  -11191.3	  -1638.94	  -41.0317	  -41.0317	  -41.0317
119	  -11143.4	  -1591.11	   9.39254	   9.39254	   9.39254
120	  -11112.2	  -1559.91	   62.8614	   62.8614	   62.8614
121	  -11061.2	  -1508.86	   114.783	   114.783	   114.783
122	  -11013.5	  -1461.18	   156.815	   156.815	   156.815
123	  -10998.1	  -1445.74	   179.312	   179.312	   179.312
124	  -11022.9	  -1470.54	   179.535	   179.535	   179.535
125	  -11078.8	  -1526.46	    165.71	    165.71	    165.71
126	  -11113.1	  -1560.77	   150.373	   150.373	   150.373
127	  -11126.3	  -1573.98	   139.163	   139.163	   139.163
128	  -11136.5	  -1584.12	   127.006	   127.006	   127.006
129	  -11158.6	  -1606.22	   105.156	   105.156	   105.156
130	  -11230.5	   -1678.2	   72.2204	   72.2204	   72.2204
131	  -11300.6	  -1748.24	   37.3638	   37.3638	   37.3638
132	  -11335.2	  -1782.89	   10.9091	   10.9091	   10.9091
133	  -11351.8	  -1799.45	  -5.28076	  -5.28076	  -5.28076
134	  -11371.8	  -1819.44	  -16.2366	  -16.2366	  -16.2366
135	  -11397.6	  -1845.27	  -27.0256	  -27.0256	  -27.0256
136	  -11418.4	  -1866.03	  -39.1357	  -39.1357	  -39.1357
137	  -11457.1	  -1904.74	  -48.6597	  -48.6597	  -48.6597
138	  -11490.4	  -1938.09	  -45.9842	  -45.9842	  -45.9842
139	  -11478.2	  -1925.81	  -22.6191	  -22.6191	  -22.6191
140	  -11424.4	  -1872.09	   18.4465	   18.4465	   18.4465
