lambda,transmittance,polished
9.000000000000001e-07,0.6769,0.7609893198426082
8.995e-07,0.805,1.1120320486255009
8.990000000000001e-07,0.7151,0.8576397217558167
8.985000000000001e-07,0.7815,0.8200419727177335
8.98e-07,0.7353,0.7013544448683708
8.975000000000001e-07,0.7509,0.7799937675288252
8.97e-07,0.7542,0.8517221908526257
8.965e-07,0.7132,0.7108541812020331
8.960000000000001e-07,0.7601,0.8178394663223585
8.955e-07,0.717,0.7867881049050807
8.95e-07,0.7331,0.8250056268287194
8.945000000000001e-07,0.779,0.8412526997840173
8.94e-07,0.7091,0.8094748858447488
8.935000000000001e-07,0.7334,0.8143459915611815
8.930000000000001e-07,0.7369,0.8562630722751569
8.925e-07,0.7225,0.8370018535681187
8.920000000000001e-07,0.7155,0.8092975907702749
8.915000000000001e-07,0.7136,0.7920967920967921
8.91e-07,0.7191,0.8425307557117749
8.905000000000001e-07,0.7476,0.8282738754708621
8.900000000000001e-07,0.7164,0.7468723936613845
8.895e-07,0.7351,0.8119063397393417
8.890000000000001e-07,0.7276,0.7885553267584264
8.885e-07,0.754,0.8691642651296829
8.88e-07,0.6993,0.7852891633913532
8.875000000000001e-07,0.7509,0.7771682881391017
8.87e-07,0.7579,0.8294845135164716
8.865e-07,0.7542,0.8547144152311877
8.860000000000001e-07,0.7646,0.8413292253521125
8.855e-07,0.7494,0.7833176544371275
8.850000000000001e-07,0.7099,0.8034178361249433
8.845000000000001e-07,0.719,0.7543804427657119
8.84e-07,0.7293,0.7794997862334331
8.835000000000001e-07,0.7361,0.785089590443686
8.830000000000001e-07,0.738,0.824304702334413
8.825e-07,0.7096,0.7474981565363952
8.820000000000001e-07,0.7363,0.8177476677032429
8.815e-07,0.726,0.7950065703022339
8.81e-07,0.7379,0.8311556656904708
8.805000000000001e-07,0.7031,0.7532676237411613
8.8e-07,0.7103,0.7839090608100652
8.795e-07,0.7367,0.8558317843866171
8.790000000000001e-07,0.7383,0.7882767456758488
8.785e-07,0.7231,0.8010413204829955
