lambda,transmittance,polished
792.5,0.7359,1.0
792.0,0.7367,1.0
791.5,0.736,1.0
791.0,0.7357,1.0
790.5,0.735,1.0
790.0,0.7362,1.0
789.5,0.7362,1.0
789.0,0.7369,1.0
788.5,0.736,1.0
788.0,0.7352,1.0
787.5,0.7363,1.0
787.0,0.7361,1.0
786.5,0.7366,1.0
786.0,0.7359,1.0
785.5,0.7372,1.0
785.0,0.7372,1.0
784.5,0.7384,1.0
784.0,0.7368,1.0
783.5,0.7367,1.0
783.0,0.7363,1.0
782.5,0.7371,1.0
782.0,0.7361,1.0
781.5,0.7376,1.0
781.0,0.7376,1.0
780.5,0.7374,1.0
780.0,0.7371,1.0
779.5,0.7371,1.0
779.0,0.7378,1.0
778.5,0.7391,1.0
778.0,0.7367,1.0
777.5,0.7382,1.0
777.0,0.7371,1.0
776.5,0.7373,1.0
776.0,0.7385,1.0
775.5,0.7374,1.0
775.0,0.7395,1.0
774.5,0.7369,1.0
774.0,0.7391,1.0
773.5,0.7375,1.0
773.0,0.739,1.0
772.5,0.739,1.0
772.0,0.7387,1.0
771.5,0.7373,1.0
771.0,0.7384,1.0
770.5,0.7395,1.0
770.0,0.7384,1.0
769.5,0.7398,1.0
769.0,0.739,1.0
768.5,0.7398,1.0
768.0,0.7395,1.0
767.5,0.7392,1.0
767.0,0.7393,1.0
766.5,0.7387,1.0
766.0,0.7403,1.0
765.5,0.7399,1.0
765.0,0.7388,1.0
764.5,0.7393,1.0
764.0,0.7397,1.0
763.5,0.7398,1.0
763.0,0.7398,1.0
762.5,0.7396,1.0
762.0,0.7399,1.0
761.5,0.7392,1.0
761.0,0.7414,1.0
760.5,0.7401,1.0
760.0,0.7402,1.0
759.5,0.7403,1.0
759.0,0.7414,1.0
758.5,0.7387,1.0
758.0,0.7403,1.0
757.5,0.7399,1.0
757.0,0.7417,1.0
756.5,0.74,1.0
756.0,0.741,1.0
755.5,0.7404,1.0
755.0,0.7411,1.0
754.5,0.7412,1.0
754.0,0.7401,1.0
753.5,0.741,1.0
753.0,0.7425,1.0
752.5,0.7418,1.0
752.0,0.742,1.0
751.5,0.7425,1.0
751.0,0.742,1.0
750.5,0.7424,1.0
750.0,0.7422,1.0
749.5,0.7428,1.0
749.0,0.7427,1.0
748.5,0.7423,1.0
748.0,0.743,1.0
747.5,0.7436,1.0
747.0,0.7426,1.0
746.5,0.7427,1.0
746.0,0.742,1.0
745.5,0.7437,1.0
745.0,0.7432,1.0
744.5,0.7427,1.0
744.0,0.7423,1.0
743.5,0.743,1.0
743.0,0.7439,1.0
742.5,0.7442,1.0
742.0,0.7434,1.0
741.5,0.7451,1.0
741.0,0.7443,1.0
740.5,0.7449,1.0
740.0,0.7439,1.0
739.5,0.7447,1.0
739.0,0.7445,1.0
738.5,0.7451,1.0
738.0,0.745,1.0
737.5,0.7459,1.0
737.0,0.7449,1.0
736.5,0.7464,1.0
736.0,0.7464,1.0
735.5,0.7468,1.0
735.0,0.7469,1.0
734.5,0.7474,1.0
734.0,0.747,1.0
733.5,0.749,1.0
733.0,0.7471,1.0
732.5,0.749,1.0
732.0,0.748,1.0
731.5,0.75,1.0
731.0,0.7495,1.0
730.5,0.7508,1.0
730.0,0.7515,1.0
729.5,0.7523,1.0
729.0,0.7527,1.0
728.5,0.7537,1.0
728.0,0.7542,1.0
727.5,0.7566,1.0
727.0,0.7557,1.0
726.5,0.756,1.0
726.0,0.7584,1.0
725.5,0.7588,1.0
725.0,0.7613,1.0
724.5,0.7609,1.0
724.0,0.7629,1.0
723.5,0.7646,1.0
723.0,0.7668,1.0
722.5,0.7683,1.0
722.0,0.7724,1.0
721.5,0.7712,1.0
721.0,0.7751,1.0
720.5,0.7781,1.0
720.0,0.7789,1.0
719.5,0.7817,1.0
719.0,0.7823,1.0
718.5,0.7854,1.0
718.0,0.7871,1.0
717.5,0.7861,1.0
717.0,0.788,1.0
716.5,0.787,1.0
716.0,0.7831,1.0
715.5,0.7815,1.0
715.0,0.7803,1.0
714.5,0.7798,1.0
714.0,0.7754,1.0
713.5,0.7732,1.0
713.0,0.7697,1.0
712.5,0.7669,1.0
712.0,0.7652,1.0
711.5,0.7641,1.0
711.0,0.7597,1.0
710.5,0.7585,1.0
710.0,0.7557,1.0
709.5,0.7566,1.0
709.0,0.7528,1.0
708.5,0.7526,1.0
708.0,0.7508,1.0
707.5,0.7514,1.0
707.0,0.7493,1.0
706.5,0.7498,1.0
706.0,0.7492,1.0
705.5,0.7507,1.0
705.0,0.7481,1.0
704.5,0.75,1.0
704.0,0.7504,1.0
703.5,0.7494,1.0
703.0,0.7502,1.0
702.5,0.7503,1.0
702.0,0.751,1.0
701.5,0.7494,1.0
701.0,0.7493,1.0
700.5,0.7504,1.0
700.0,0.7497,1.0
699.5,0.7499,1.0
699.0,0.7509,1.0
698.5,0.7502,1.0
698.0,0.7495,1.0
697.5,0.7492,1.0
697.0,0.7493,1.0
696.5,0.7491,1.0
696.0,0.7498,1.0
695.5,0.7505,1.0
695.0,0.75,1.0
694.5,0.7492,1.0
694.0,0.7495,1.0
693.5,0.7491,1.0
693.0,0.7498,1.0
692.5,0.7491,1.0
692.0,0.7491,1.0
691.5,0.7493,1.0
691.0,0.7494,1.0
690.5,0.7495,1.0
690.0,0.7489,1.0
689.5,0.7491,1.0
689.0,0.7492,1.0
688.5,0.7497,1.0
688.0,0.7495,1.0
687.5,0.7492,1.0
687.0,0.7482,1.0
686.5,0.7491,1.0
686.0,0.7491,1.0
685.5,0.749,1.0
685.0,0.7486,1.0
684.5,0.749,1.0
684.0,0.7489,1.0
683.5,0.7495,1.0
683.0,0.7491,1.0
682.5,0.7493,1.0
682.0,0.7484,1.0
681.5,0.7494,1.0
681.0,0.7486,1.0
680.5,0.75,1.0
680.0,0.7486,1.0
679.5,0.7495,1.0
679.0,0.7485,1.0
678.5,0.7498,1.0
678.0,0.7477,1.0
677.5,0.7484,1.0
677.0,0.7495,1.0
676.5,0.7491,1.0
676.0,0.7487,1.0
675.5,0.7491,1.0
675.0,0.749,1.0
674.5,0.749,1.0
674.0,0.749,1.0
673.5,0.7483,1.0
673.0,0.749,1.0
672.5,0.7488,1.0
672.0,0.7487,1.0
671.5,0.7482,1.0
671.0,0.7485,1.0
670.5,0.7493,1.0
670.0,0.7494,1.0
669.5,0.7479,1.0
669.0,0.7489,1.0
668.5,0.749,1.0
668.0,0.7494,1.0
667.5,0.7486,1.0
667.0,0.7489,1.0
666.5,0.7489,1.0
666.0,0.749,1.0
665.5,0.747,1.0
665.0,0.7486,1.0
664.5,0.7481,1.0
664.0,0.7489,1.0
663.5,0.7484,1.0
663.0,0.7477,1.0
662.5,0.7489,1.0
662.0,0.748,1.0
661.5,0.7473,1.0
661.0,0.7484,1.0
660.5,0.749,1.0
660.0,0.7479,1.0
659.5,0.7487,1.0
659.0,0.7479,1.0
658.5,0.749,1.0
658.0,0.7482,1.0
657.5,0.749,1.0
657.0,0.7477,1.0
656.5,0.7483,1.0
656.0,0.7479,1.0
655.5,0.7483,1.0
