lambda,transmittance,polished
900.0,0.0307,0.033493344970543314
899.5,0.0245,0.024830242221546568
899.0,0.0387,0.03757646373434314
898.5,0.1335,0.18111518111518113
898.0,0.0187,0.018921380147728425
897.5,0.0678,0.08752904725019366
897.0,0.1133,0.13942899335466405
896.5,0.1163,0.13709772486148766
896.0,-0.1431,-0.14763231197771587
895.5,0.1624,0.15766990291262134
895.0,-0.0125,-0.011840484986265037
894.5,0.1012,0.09399089811460945
894.0,-0.0434,-0.04927338782924614
893.5,0.1128,0.1241880435979302
893.0,-0.061,-0.06766500277315585
892.5,0.0061,0.006034823901859914
892.0,-0.0563,-0.06383219954648527
891.5,0.0954,0.10501981505944517
891.0,0.0259,0.030186480186480187
890.5,-0.068,-0.08354834746283328
890.0,-0.0492,-0.05539916676049995
889.5,0.0635,0.07847256549678695
889.0,-0.0094,-0.010061008241464197
888.5,0.0181,0.01946236559139785
888.0,0.0136,0.01452836235444931
887.5,0.0281,0.03316808309726157
887.0,0.0284,0.031325832781822195
886.5,0.0051,0.005260986177016712
886.0,0.0223,0.023743611584327088
885.5,0.0709,0.07682305775273594
885.0,0.0465,0.05199016100178891
884.5,0.0273,0.029459371965037232
884.0,-0.0094,-0.01070615034168565
883.5,0.0327,0.03523706896551724
883.0,-0.0465,-0.05117200396170354
882.5,0.0551,0.061785153621888314
882.0,0.0159,0.018345448251990307
881.5,0.0074,0.0077993254637436765
881.0,0.0309,0.03371890004364906
880.5,-0.0102,-0.011419614867890731
880.0,0.0146,0.01633475050346834
879.5,-0.0043,-0.004703051514820081
879.0,0.0297,0.03129610115911486
878.5,0.0277,0.03110961365678347
878.0,0.0316,0.03482477407978841
877.5,0.0584,0.06330623306233063
877.0,0.0026,0.0028446389496717722
876.5,0.0208,0.023362911378187128
876.0,0.0211,0.022427721088435375
875.5,0.0334,0.035956507697276346
875.0,0.005,0.0054235817333767216
874.5,0.036,0.04033613445378151
874.0,0.0245,0.02727373928531671
873.5,0.0154,0.01684348682051843
873.0,0.023,0.025358324145534728
872.5,-0.0057,-0.006343906510851419
872.0,0.0109,0.01209364251636525
871.5,0.0172,0.01956769055745165
871.0,0.0144,0.015848558221439577
870.5,0.0289,0.032043463798647295
870.0,0.0245,0.02690238278247502
869.5,0.0132,0.01485148514851485
869.0,0.0196,0.021638330757341576
868.5,0.0244,0.02687520652054191
868.0,0.0258,0.028298782494241528
867.5,0.0258,0.028439153439153438
867.0,0.0214,0.023573474333553644
866.5,0.0262,0.029270472572896885
866.0,0.0234,0.025557011795543906
865.5,0.0202,0.02247191011235955
865.0,0.0177,0.01941854086670324
864.5,0.0204,0.022193211488250653
864.0,0.0163,0.018060941828254847
863.5,0.0186,0.020675855935971543
863.0,0.0198,0.021784574760699747
